,Sharing,Address,Size,Provider,Receiver,Latency (ns)
817,read,4096,64,3,5,29.001
818,read,1048576,64,3,5,29.001
819,write,1048576,64,3,5,21.251
820,write,1048576,8,3,5,32.001
821,write,0,64,3,5,15.751
822,write,0,8,3,5,32.001
823,read,0,8,3,5,29.001
824,read,0,64,3,5,29.001
825,write,524288,8,3,5,32.001
826,write,524288,64,3,5,21.251
827,read,524288,64,3,5,29.001
828,read,4096,64,3,7,23.501
829,read,4096,8,3,7,23.501
830,write,4096,8,3,7,26.501
831,write,4096,64,3,7,15.751
832,write,20480,64,3,7,26.751
833,write,20480,8,3,7,37.501
834,read,20480,8,3,7,34.501
835,read,20480,64,3,7,34.501
836,write,524288,8,3,7,26.501
837,write,524288,64,3,7,15.751
838,read,524288,64,3,7,23.501
839,write,0,8,3,7,32.001
840,write,0,64,3,7,21.251
841,read,0,8,3,7,34.501
842,read,0,64,3,7,29.001
843,write,1048576,64,3,7,15.751
844,write,1048576,8,3,7,26.501
845,read,1048576,64,3,7,23.501
846,write,0,8,3,0,26.501
847,write,0,64,3,0,10.251
848,read,0,64,3,0,23.501
849,read,0,8,3,0,23.501
850,read,524288,64,3,0,23.501
851,write,524288,64,3,0,15.751
852,write,524288,8,3,0,26.501
853,write,1048576,64,3,0,15.751
854,write,1048576,8,3,0,26.501
855,read,1048576,64,3,0,23.501
856,write,20480,8,3,0,32.001
857,write,20480,64,3,0,21.251
858,read,20480,8,3,0,29.001
859,read,20480,64,3,0,29.001
860,write,4096,8,3,0,26.501
861,write,4096,64,3,0,15.751
862,read,4096,64,3,0,23.501
863,read,4096,8,3,0,23.501
864,read,1048576,64,3,4,29.001
865,write,1048576,64,3,4,21.251
866,write,1048576,8,3,4,32.001
867,write,4096,64,3,4,21.251
868,write,4096,8,3,4,32.001
869,read,4096,8,3,4,29.001
870,read,4096,64,3,4,29.001
871,write,20480,8,3,4,32.001
872,write,20480,64,3,4,21.251
873,read,20480,64,3,4,29.001
874,read,20480,8,3,4,29.001
875,read,524288,64,3,4,29.001
876,write,524288,64,3,4,21.251
877,write,524288,8,3,4,32.001
878,read,0,64,3,4,29.001
879,read,0,8,3,4,29.001
880,write,0,64,3,4,15.751
881,write,0,8,3,4,32.001
882,write,20480,64,4,2,15.751
883,write,20480,8,4,2,32.001
884,read,20480,8,4,2,29.001
885,read,20480,64,4,2,29.001
886,read,4096,8,4,2,29.001
887,read,4096,64,4,2,29.001
888,write,4096,64,4,2,10.251
889,write,4096,8,4,2,32.001
890,read,524288,64,4,2,29.001
891,write,524288,64,4,2,10.251
892,write,524288,8,4,2,32.001
893,read,0,64,4,2,29.001
894,read,0,8,4,2,29.001
895,write,0,64,4,2,15.751
896,write,0,8,4,2,32.001
897,read,1048576,64,4,2,29.001
898,write,1048576,64,4,2,10.251
899,write,1048576,8,4,2,32.001
900,read,524288,64,4,5,29.001
901,write,524288,8,4,5,32.001
902,write,524288,64,4,5,21.251
903,write,0,64,4,5,15.751
904,write,0,8,4,5,26.501
905,read,0,8,4,5,29.001
906,read,0,64,4,5,23.501
907,read,1048576,64,4,5,29.001
908,write,1048576,8,4,5,32.001
909,write,1048576,64,4,5,21.251
910,write,20480,64,4,5,21.251
911,write,20480,8,4,5,32.001
912,read,20480,64,4,5,29.001
913,read,20480,8,4,5,29.001
914,read,4096,64,4,5,29.001
915,read,4096,8,4,5,29.001
916,write,4096,64,4,5,21.251
917,write,4096,8,4,5,32.001
918,read,524288,64,4,1,29.001
919,write,524288,8,4,1,32.001
920,write,524288,64,4,1,15.751
921,read,20480,64,4,1,34.501
922,read,20480,8,4,1,34.501
923,write,20480,8,4,1,37.501
924,write,20480,64,4,1,21.251
925,write,1048576,8,4,1,32.001
926,write,1048576,64,4,1,15.751
927,read,1048576,64,4,1,29.001
928,write,4096,8,4,1,32.001
929,write,4096,64,4,1,15.751
930,read,4096,8,4,1,29.001
931,read,4096,64,4,1,29.001
932,write,0,64,4,1,10.251
933,write,0,8,4,1,26.501
934,read,0,64,4,1,23.501
935,read,0,8,4,1,29.001
936,write,20480,64,4,6,26.751
937,write,20480,8,4,6,37.501
938,read,20480,64,4,6,34.501
939,read,20480,8,4,6,34.501
940,write,1048576,64,4,6,15.751
941,write,1048576,8,4,6,32.001
942,read,1048576,64,4,6,29.001
943,write,524288,8,4,6,32.001
944,write,524288,64,4,6,15.751
945,read,524288,64,4,6,29.001
946,read,4096,64,4,6,29.001
947,read,4096,8,4,6,29.001
948,write,4096,8,4,6,32.001
949,write,4096,64,4,6,15.751
950,write,0,8,4,6,32.001
951,write,0,64,4,6,21.251
952,read,0,8,4,6,34.501
953,read,0,64,4,6,29.001
954,read,524288,64,4,3,29.001
955,write,524288,64,4,3,10.251
956,write,524288,8,4,3,32.001
957,write,4096,8,4,3,32.001
958,write,4096,64,4,3,10.251
959,read,4096,8,4,3,29.001
960,read,4096,64,4,3,29.001
961,read,1048576,64,4,3,29.001
962,write,1048576,64,4,3,10.251
963,write,1048576,8,4,3,32.001
964,read,20480,8,4,3,29.001
965,read,20480,64,4,3,29.001
966,write,20480,64,4,3,15.751
967,write,20480,8,4,3,32.001
968,read,0,64,4,3,29.001
969,read,0,8,4,3,29.001
970,write,0,8,4,3,32.001
971,write,0,64,4,3,15.751
972,write,1048576,8,4,7,32.001
973,write,1048576,64,4,7,15.751
974,read,1048576,64,4,7,29.001
975,read,20480,8,4,7,34.501
976,read,20480,64,4,7,34.501
977,write,20480,8,4,7,37.501
978,write,20480,64,4,7,26.751
979,read,524288,64,4,7,29.001
980,write,524288,64,4,7,15.751
981,write,524288,8,4,7,32.001
982,read,4096,64,4,7,29.001
983,read,4096,8,4,7,29.001
984,write,4096,64,4,7,15.751
985,write,4096,8,4,7,32.001
986,read,0,8,4,7,34.501
987,read,0,64,4,7,29.001
988,write,0,64,4,7,21.251
989,write,0,8,4,7,32.001
990,write,20480,64,4,0,21.251
991,write,20480,8,4,0,37.501
992,read,20480,64,4,0,34.501
993,read,20480,8,4,0,34.501
994,write,4096,64,4,0,15.751
995,write,4096,8,4,0,32.001
996,read,4096,8,4,0,29.001
997,read,4096,64,4,0,29.001
998,read,1048576,64,4,0,29.001
999,write,1048576,8,4,0,32.001
1000,write,1048576,64,4,0,15.751
1001,write,524288,64,4,0,15.751
1002,write,524288,8,4,0,32.001
1003,read,524288,64,4,0,29.001
1004,read,0,8,4,0,29.001
1005,read,0,64,4,0,23.501
1006,write,0,64,4,0,10.251
1007,write,0,8,4,0,26.501
