,Sharing,Address,Size,Provider,Receiver,Latency (ns)
163,write,4096,64,1,2,10.251
164,read,4096,8,1,2,23.501
165,read,4096,64,1,2,23.501
166,read,20480,8,1,2,29.001
167,read,20480,64,1,2,29.001
168,write,20480,64,1,2,15.751
169,write,20480,8,1,2,32.001
170,read,524288,64,1,2,23.501
171,write,524288,8,1,2,26.501
172,write,524288,64,1,2,10.251
173,write,1048576,8,1,2,26.501
174,write,1048576,64,1,2,10.251
175,read,1048576,64,1,2,23.501
176,write,0,8,1,2,26.501
177,write,0,64,1,2,15.751
178,read,0,8,1,2,23.501
179,read,0,64,1,2,23.501
180,write,20480,8,1,0,32.001
181,write,20480,64,1,0,21.251
182,read,20480,8,1,0,29.001
183,read,20480,64,1,0,29.001
184,write,524288,8,1,0,26.501
185,write,524288,64,1,0,15.751
186,read,524288,64,1,0,23.501
187,read,1048576,64,1,0,23.501
188,write,1048576,8,1,0,26.501
189,write,1048576,64,1,0,15.751
190,write,0,8,1,0,21.001
191,write,0,64,1,0,10.251
192,read,0,8,1,0,18.001
193,read,0,64,1,0,18.001
194,write,4096,8,1,0,26.501
195,write,4096,64,1,0,15.751
196,read,4096,8,1,0,23.501
197,read,4096,64,1,0,23.501
198,write,20480,8,1,7,43.001
199,write,20480,64,1,7,26.751
200,read,20480,64,1,7,40.001
201,read,20480,8,1,7,40.001
202,read,4096,8,1,7,29.001
203,read,4096,64,1,7,29.001
204,write,4096,8,1,7,32.001
205,write,4096,64,1,7,15.751
206,read,524288,64,1,7,29.001
207,write,524288,8,1,7,32.001
208,write,524288,64,1,7,15.751
209,read,0,64,1,7,29.001
210,read,0,8,1,7,34.501
211,write,0,64,1,7,21.251
212,write,0,8,1,7,32.001
213,read,1048576,64,1,7,29.001
214,write,1048576,64,1,7,15.751
215,write,1048576,8,1,7,32.001
216,write,524288,64,1,3,10.251
217,write,524288,8,1,3,26.501
218,read,524288,64,1,3,23.501
219,read,0,64,1,3,23.501
220,read,0,8,1,3,23.501
221,write,0,64,1,3,15.751
222,write,0,8,1,3,26.501
223,write,1048576,64,1,3,10.251
224,write,1048576,8,1,3,26.501
225,read,1048576,64,1,3,23.501
226,write,4096,8,1,3,26.501
227,write,4096,64,1,3,10.251
228,read,4096,8,1,3,23.501
229,read,4096,64,1,3,23.501
230,write,20480,64,1,3,15.751
231,write,20480,8,1,3,32.001
232,read,20480,64,1,3,29.001
233,read,20480,8,1,3,29.001
234,read,1048576,64,1,4,29.001
235,write,1048576,64,1,4,21.251
236,write,1048576,8,1,4,32.001
237,write,4096,8,1,4,32.001
238,write,4096,64,1,4,21.251
239,read,4096,64,1,4,29.001
240,read,4096,8,1,4,29.001
241,write,524288,64,1,4,21.251
242,write,524288,8,1,4,32.001
243,read,524288,64,1,4,29.001
244,write,20480,64,1,4,21.251
245,write,20480,8,1,4,37.501
246,read,20480,64,1,4,34.501
247,read,20480,8,1,4,34.501
248,read,0,8,1,4,29.001
249,read,0,64,1,4,23.501
250,write,0,64,1,4,15.751
251,write,0,8,1,4,26.501
252,read,0,64,5,0,23.501
253,read,0,8,5,0,29.001
254,write,0,64,5,0,10.251
255,write,0,8,5,0,26.501
256,read,1048576,64,5,0,29.001
257,write,1048576,8,5,0,32.001
258,write,1048576,64,5,0,15.751
259,write,4096,64,5,0,15.751
260,write,4096,8,5,0,32.001
261,read,4096,64,5,0,29.001
262,read,4096,8,5,0,29.001
263,read,524288,64,5,0,29.001
264,write,524288,64,5,0,15.751
265,write,524288,8,5,0,32.001
266,read,20480,64,5,0,34.501
267,read,20480,8,5,0,34.501
268,write,20480,8,5,0,37.501
269,write,20480,64,5,0,21.251
270,write,524288,8,5,7,32.001
271,write,524288,64,5,7,15.751
272,read,524288,64,5,7,29.001
273,write,1048576,64,5,7,15.751
274,write,1048576,8,5,7,32.001
275,read,1048576,64,5,7,29.001
276,write,20480,64,5,7,26.751
277,write,20480,8,5,7,37.501
278,read,20480,64,5,7,34.501
279,read,20480,8,5,7,34.501
280,write,0,64,5,7,21.251
281,write,0,8,5,7,32.001
282,read,0,64,5,7,29.001
283,read,0,8,5,7,34.501
284,write,4096,64,5,7,15.751
285,write,4096,8,5,7,32.001
286,read,4096,8,5,7,29.001
287,read,4096,64,5,7,29.001
288,write,4096,8,5,3,32.001
289,write,4096,64,5,3,10.251
290,read,4096,64,5,3,29.001
291,read,4096,8,5,3,29.001
292,read,524288,64,5,3,29.001
293,write,524288,64,5,3,10.251
294,write,524288,8,5,3,32.001
295,read,0,8,5,3,29.001
296,read,0,64,5,3,29.001
297,write,0,64,5,3,15.751
298,write,0,8,5,3,32.001
299,read,20480,64,5,3,29.001
300,read,20480,8,5,3,29.001
301,write,20480,64,5,3,15.751
302,write,20480,8,5,3,32.001
303,read,1048576,64,5,3,29.001
304,write,1048576,8,5,3,32.001
305,write,1048576,64,5,3,10.251
306,write,0,64,5,4,15.751
307,write,0,8,5,4,26.501
308,read,0,64,5,4,23.501
309,read,0,8,5,4,29.001
310,write,524288,8,5,4,32.001
311,write,524288,64,5,4,21.251
312,read,524288,64,5,4,29.001
313,write,20480,8,5,4,32.001
314,write,20480,64,5,4,21.251
315,read,20480,64,5,4,29.001
316,read,20480,8,5,4,29.001
317,read,1048576,64,5,4,29.001
318,write,1048576,8,5,4,32.001
319,write,1048576,64,5,4,21.251
320,read,4096,8,5,4,29.001
321,read,4096,64,5,4,29.001
322,write,4096,8,5,4,32.001
323,write,4096,64,5,4,21.251
324,write,524288,8,5,6,32.001
325,write,524288,64,5,6,15.751
326,read,524288,64,5,6,29.001
327,write,1048576,64,5,6,15.751
328,write,1048576,8,5,6,32.001
329,read,1048576,64,5,6,29.001
330,read,4096,8,5,6,29.001
331,read,4096,64,5,6,29.001
332,write,4096,8,5,6,32.001
333,write,4096,64,5,6,15.751
334,write,0,64,5,6,21.251
335,write,0,8,5,6,32.001
336,read,0,8,5,6,34.501
337,read,0,64,5,6,29.001
338,read,20480,64,5,6,34.501
339,read,20480,8,5,6,34.501
340,write,20480,8,5,6,37.501
341,write,20480,64,5,6,26.751
342,write,20480,8,5,1,37.501
343,write,20480,64,5,1,21.251
344,read,20480,8,5,1,34.501
345,read,20480,64,5,1,34.501
346,write,524288,64,5,1,15.751
347,write,524288,8,5,1,32.001
348,read,524288,64,5,1,29.001
349,read,0,8,5,1,29.001
350,read,0,64,5,1,23.501
351,write,0,8,5,1,26.501
352,write,0,64,5,1,10.251
353,read,1048576,64,5,1,29.001
354,write,1048576,8,5,1,32.001
355,write,1048576,64,5,1,15.751
356,write,4096,8,5,1,32.001
357,write,4096,64,5,1,15.751
358,read,4096,64,5,1,29.001
359,read,4096,8,5,1,29.001
360,read,524288,64,5,2,29.001
361,write,524288,64,5,2,10.251
362,write,524288,8,5,2,32.001
363,read,20480,64,5,2,29.001
364,read,20480,8,5,2,29.001
365,write,20480,8,5,2,32.001
366,write,20480,64,5,2,15.751
367,write,0,64,5,2,15.751
368,write,0,8,5,2,32.001
