,Sharing,Address,Size,Provider,Receiver,Bandwidth (GB/s)
253,write,524288,64,4,1,25.51823678564463
254,read,524288,64,4,1,18.107565584550425
255,read,0,64,4,1,18.107565584550425
256,write,0,64,4,1,25.51823678564463
257,write,0,8,4,1,2.6827548702856587
258,write,0,8,4,6,2.681759751347825
259,write,0,64,4,6,25.04374461567914
260,read,0,64,4,6,16.277134390579672
261,read,524288,64,4,6,16.277134390579672
262,write,524288,8,4,6,2.681759751347825
263,write,524288,64,4,6,25.04374461567914
264,read,0,64,4,2,16.559713243497733
265,write,0,8,4,2,2.679042381371006
266,write,0,64,4,2,25.422101273204394
267,read,524288,64,4,2,16.559713243497733
268,write,524288,64,4,2,25.422101273204394
269,write,524288,8,4,2,2.679042381371006
270,write,0,8,4,5,2.682792630714229
271,write,0,64,4,5,25.422101273204394
272,read,0,64,4,5,17.8367183438307
273,read,524288,64,4,5,17.8367183438307
274,write,524288,64,4,5,25.422101273204394
275,write,524288,8,4,5,2.682792630714229
276,read,0,64,4,7,16.277134390579672
277,write,0,8,4,7,2.681759751347825
278,write,0,64,4,7,25.04374461567914
279,read,524288,64,4,7,16.277134390579672
280,write,524288,64,4,7,25.04374461567914
281,write,524288,8,4,7,2.681759751347825
282,write,0,64,4,0,25.51823678564463
283,write,0,8,4,0,2.6827548702856587
284,read,0,64,4,0,18.107565584550425
285,write,524288,8,4,0,2.6827548702856587
286,write,524288,64,4,0,25.51823678564463
287,read,524288,64,4,0,18.107565584550425
288,read,524288,64,4,3,16.559713243497733
289,write,524288,8,4,3,2.679042381371006
290,write,524288,64,4,3,25.422101273204394
291,write,0,64,4,3,25.422101273204394
292,write,0,8,4,3,2.679042381371006
293,read,0,64,4,3,16.559713243497733
294,read,0,64,3,6,16.277134390579672
295,write,0,64,3,6,24.968606440989415
296,write,0,8,3,6,2.67999780143648
297,read,524288,64,3,6,16.277134390579672
298,write,524288,8,3,6,2.67999780143648
299,write,524288,64,3,6,24.968606440989415
300,write,0,8,3,1,2.6827548702856587
301,write,0,64,3,1,25.51823678564463
302,read,0,64,3,1,18.09191189183582
303,write,524288,8,3,1,2.6827548702856587
304,write,524288,64,3,1,25.51823678564463
305,read,524288,64,3,1,18.09191189183582
306,write,524288,8,3,5,2.6817974837683103
307,write,524288,64,3,5,25.422101273204394
308,read,524288,64,3,5,16.52989171214862
309,read,0,64,3,5,16.52989171214862
310,write,0,64,3,5,25.422101273204394
311,write,0,8,3,5,2.6817974837683103
312,write,524288,8,3,2,2.6839087595959503
313,write,524288,64,3,2,25.422101273204394
314,read,524288,64,3,2,17.8367183438307
315,write,0,64,3,2,25.422101273204394
316,write,0,8,3,2,2.6839087595959503
317,read,0,64,3,2,17.8367183438307
318,write,0,8,3,0,2.6827548702856587
319,write,0,64,3,0,25.51823678564463
320,read,0,64,3,0,18.09191189183582
321,read,524288,64,3,0,18.09191189183582
322,write,524288,64,3,0,25.51823678564463
323,write,524288,8,3,0,2.6827548702856587
324,read,0,64,3,7,16.277134390579672
325,write,0,8,3,7,2.67999780143648
326,write,0,64,3,7,24.968606440989415
327,read,524288,64,3,7,16.277134390579672
328,write,524288,64,3,7,24.968606440989415
329,write,524288,8,3,7,2.67999780143648
330,read,0,64,3,4,16.52989171214862
331,write,0,64,3,4,25.422101273204394
332,write,0,8,3,4,2.6817974837683103
333,write,524288,8,3,4,2.6817974837683103
334,write,524288,64,3,4,25.422101273204394
335,read,524288,64,3,4,16.52989171214862
